15 a 17 - Taxa de Mortalidade por Neoplasias 
Tx Mort Total Neoplasias por Município e Ano
Período:2018
"Município";"2018";"Total"
"351290 Cosmorama";127,88;127,88
"351300 Cotia";112,94;112,94
"351310 Cravinhos";138,66;138,66
"351320 Cristais Paulista";120,99;120,99
"351330 Cruzália";186,57;186,57
"351340 Cruzeiro";119,67;119,67
"351350 Cubatão";101,51;101,51
"351360 Cunha";133,72;133,72
"351370 Descalvado";155,40;155,40
"351380 Diadema";113,67;113,67
"351385 Dirce Reis";116,75;116,75
"351390 Divinolândia";137,11;137,11
"351400 Dobrada";80,37;80,37
"351410 Dois Córregos";120,64;120,64
"351420 Dolcinópolis";146,27;146,27
"351430 Dourado";141,08;141,08
"351440 Dracena";205,84;205,84
"351450 Duartina";116,37;116,37
"351460 Dumont";150,20;150,20
"351470 Echaporã";160,38;160,38
"351480 Eldorado";92,89;92,89
"351490 Elias Fausto";111,45;111,45
"351492 Elisiário";262,54;262,54
"351495 Embaúba";166,04;166,04
"351500 Embu das Artes";92,15;92,15
"351510 Embu-Guaçu";114,94;114,94
"351512 Emilianópolis";195,89;195,89
"351515 Engenheiro Coelho";71,33;71,33
"351518 Espírito Santo do Pinhal";174,28;174,28
"351519 Espírito Santo do Turvo";106,72;106,72
"355730 Estiva Gerbi";174,68;174,68
"351520 Estrela d'Oeste";184,75;184,75
"351530 Estrela do Norte";225,48;225,48
"351535 Euclides da Cunha Paulista";147,01;147,01
"351540 Fartura";186,26;186,26
"351560 Fernando Prestes";179,63;179,63
"351550 Fernandópolis";129,01;129,01
"351565 Fernão";183,94;183,94
"351570 Ferraz de Vasconcelos";74,99;74,99
"351580 Flora Rica";247,68;247,68
"351590 Floreal";208,04;208,04
"351600 Flórida Paulista";106,13;106,13
"351610 Florínia";257,16;257,16
"351620 Franca";127,91;127,91
"351630 Francisco Morato";66,40;66,40
"351640 Franco da Rocha";90,46;90,46
"351650 Gabriel Monteiro";111,44;111,44
"351660 Gália";90,51;90,51
"351670 Garça";133,81;133,81
"351680 Gastão Vidigal";192,97;192,97
"351685 Gavião Peixoto";43,74;43,74
"351690 General Salgado";140,67;140,67
"351700 Getulina";120,07;120,07
"351710 Glicério";84,85;84,85
"351720 Guaiçara";102,58;102,58
"351730 Guaimbê";145,27;145,27
"351740 Guaíra";149,62;149,62
"351750 Guapiaçu";88,70;88,70
"351760 Guapiara";84,55;84,55
"351770 Guará";96,98;96,98
"351780 Guaraçaí";178,06;178,06
"351790 Guaraci";92,76;92,76
"351800 Guarani d'Oeste";207,04;207,04
"351810 Guarantã";108,34;108,34
"351820 Guararapes";157,12;157,12
"351830 Guararema";163,81;163,81
"351840 Guaratinguetá";148,49;148,49
"351850 Guareí";122,49;122,49
"351860 Guariba";112,14;112,14
"351870 Guarujá";104,78;104,78
"351880 Guarulhos";107,94;107,94
"351885 Guatapará";122,53;122,53
"351890 Guzolândia";59,55;59,55
"351900 Herculândia";120,26;120,26
"351905 Holambra";86,32;86,32
"351907 Hortolândia";90,73;90,73
"351910 Iacanga";126,58;126,58
"351920 Iacri";158,60;158,60
"351925 Iaras";88,43;88,43
"351930 Ibaté";91,29;91,29
"351940 Ibirá";143,57;143,57
"351950 Ibirarema";122,43;122,43
"351960 Ibitinga";165,19;165,19
"351970 Ibiúna";106,11;106,11
"351980 Icém";151,48;151,48
"351990 Iepê";101,79;101,79
"352000 Igaraçu do Tietê";95,93;95,93
"352010 Igarapava";113,11;113,11
"352020 Igaratá";119,34;119,34
"352030 Iguape";139,88;139,88
"352042 Ilha Comprida";179,44;179,44
"352044 Ilha Solteira";93,59;93,59
"352040 Ilhabela";107,78;107,78
"352050 Indaiatuba";119,93;119,93
"352060 Indiana";146,29;146,29
"352070 Indiaporã";233,16;233,16
"352080 Inúbia Paulista";104,11;104,11
"352090 Ipaussu";139,54;139,54
"352100 Iperó";66,28;66,28
"352110 Ipeúna";138,05;138,05
"352115 Ipiguá";19,67;19,67
"352120 Iporanga";136,99;136,99
"352130 Ipuã";77,29;77,29
"352140 Iracemápolis";134,89;134,89
"352150 Irapuã";196,16;196,16
"352160 Irapuru";121,31;121,31
"352170 Itaberá";68,03;68,03
"352180 Itaí";99,99;99,99
"352190 Itajobi";171,05;171,05
"352200 Itaju";195,69;195,69
"352210 Itanhaém";147,31;147,31
"352215 Itaóca";94,16;94,16
"352220 Itapecerica da Serra";101,67;101,67
"352230 Itapetininga";131,87;131,87
"352240 Itapeva";133,20;133,20
"352250 Itapevi";72,61;72,61
"352260 Itapira";164,71;164,71
"352265 Itapirapuã Paulista";73,01;73,01
"352270 Itápolis";138,14;138,14
"352280 Itaporanga";109,19;109,19
"352290 Itapuí";103,96;103,96
"352300 Itapura";104,08;104,08
"352310 Itaquaquecetuba";70,47;70,47
"352320 Itararé";129,20;129,20
"352330 Itariri";106,50;106,50
"352340 Itatiba";137,59;137,59
"352350 Itatinga";129,79;129,79
"352360 Itirapina";71,26;71,26
"352370 Itirapuã";112,83;112,83
"352380 Itobi";144,81;144,81
"352390 Itu";126,54;126,54
"352400 Itupeva";65,74;65,74
"352410 Ituverava";147,63;147,63
"352420 Jaborandi";105,04;105,04
"352430 Jaboticabal";139,63;139,63
"352440 Jacareí";124,12;124,12
"352450 Jaci";89,39;89,39
"352460 Jacupiranga";145,39;145,39
"352470 Jaguariúna";133,92;133,92
"352480 Jales";209,66;209,66
"352490 Jambeiro";148,42;148,42
"352500 Jandira";61,40;61,40
"352510 Jardinópolis";114,51;114,51
"352520 Jarinu";104,74;104,74
"352530 Jaú";147,52;147,52
"352540 Jeriquara";95,42;95,42
"352550 Joanópolis";112,00;112,00
"352560 João Ramalho";46,13;46,13
"352570 José Bonifácio";84,87;84,87
"352580 Júlio Mesquita";108,86;108,86
"352585 Jumirim";31,14;31,14
"352590 Jundiaí";165,77;165,77
"352600 Junqueirópolis";202,04;202,04
"352610 Juquiá";137,84;137,84
"352620 Juquitiba";109,85;109,85
"352630 Lagoinha";103,78;103,78
"352640 Laranjal Paulista";168,33;168,33
"352650 Lavínia";105,30;105,30
"352660 Lavrinhas";42,55;42,55
"352670 Leme";126,04;126,04
"352680 Lençóis Paulista";103,98;103,98
"352690 Limeira";121,71;121,71
"352700 Lindóia";92,79;92,79
"352710 Lins";155,83;155,83
"352720 Lorena";128,15;128,15
"352725 Lourdes";183,99;183,99
"352730 Louveira";103,84;103,84
"352740 Lucélia";120,16;120,16
"352750 Lucianópolis";44,33;44,33
"352760 Luís Antônio";58,59;58,59
"352770 Luiziânia";178,35;178,35
"352780 Lupércio";158,84;158,84
"352790 Lutécia";303,38;303,38
"352800 Macatuba";119,04;119,04
"352810 Macaubal";180,83;180,83
"352820 Macedônia";167,08;167,08
"352830 Magda";192,93;192,93
"352840 Mairinque";111,52;111,52
"352850 Mairiporã";91,46;91,46
"352860 Manduri";169,74;169,74
"352870 Marabá Paulista";122,32;122,32
"352880 Maracaí";96,37;96,37
"352885 Marapoama";105,04;105,04
"352890 Mariápolis";75,68;75,68
"352900 Marília";149,50;149,50
"352910 Marinópolis";238,32;238,32
"352920 Martinópolis";118,18;118,18
"352930 Matão";133,41;133,41
"352940 Mauá";84,97;84,97
"352950 Mendonça";181,05;181,05
"352960 Meridiano";159,49;159,49
"352965 Mesópolis";0,00;0,00
"352970 Miguelópolis";136,52;136,52
"352980 Mineiros do Tietê";128,13;128,13
"353000 Mira Estrela";205,76;205,76
"352990 Miracatu";115,17;115,17
"353010 Mirandópolis";123,07;123,07
"353020 Mirante do Paranapanema";113,42;113,42
"353030 Mirassol";140,20;140,20
"353040 Mirassolândia";173,12;173,12
"353050 Mococa";141,02;141,02
